FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
240_Stories_from_the_Old_Attic.txt      885                 511                 280                 374                 0.0214339s
241_Clotelle;_Or,_The_Colored_Hero.txt  944                 533                 304                 411                 0.0380755s
242_My_Ántonia.txt                      1077                708                 286                 369                 0.0562926s
243_The_Forged_Coupon,_and_Other_S.txt  1123                717                 315                 406                 0.0430515s
244_A_Study_in_Scarlet.txt              921                 600                 286                 321                 0.0333016s
245_Life_on_the_Mississippi.txt         1626                1129                361                 497                 0.0855421s
246_The_Rubaiyat_of_Omar_Khayyam.txt    435                 178                 259                 257                 0.0090559s
247_Webster's_Unabridged_Dictionar.txt  2048                1552                385                 496                 0.1512032s
248_Webster's_Unabridged_Dictionar.txt  1958                1757                383                 201                 0.1601060s
249_French_Cave_Paintings.txt           174                 40                  142                 134                 0.0033378s
24_O_Pioneers!.txt                      841                 569                 285                 272                 0.0375330s
250_A_Brief_History_of_the_Interne.txt  509                 160                 256                 349                 0.0134411s
251_1995_United_States_Congression.txt  140                 30                  117                 110                 0.0038435s
252_Copyright_Law_of_the_United_St.txt  383                 116                 209                 267                 0.0213966s
253_The_Universal_Copyright_Conven.txt  239                 44                  182                 195                 0.0069554s
254_The_Second_Story_of_Meno            0                   0                   0                   0                   0.0000005s
255_QREAD,_Etext_Reader_for_Window.txt  140                 28                  117                 112                 0.0021792s
256_Motion_Picture_of_Rotating_Ear.txt  137                 28                  113                 109                 0.0019471s
257_Troilus_and_Criseyde.txt            344                 143                 191                 201                 0.0399297s
258_Poems_by_Adam_Lindsay_Gordon.txt    1121                869                 334                 252                 0.0469895s
259_Ballads_of_a_Cheechako.txt          635                 505                 253                 130                 0.0148663s
25_The_1991_CIA_World_Factbook.txt      870                 372                 265                 498                 0.1860622s
260_An_Introduction_to_the_Study_o.txt  1580                964                 392                 616                 0.0818191s
261_A_Dome_of_Many-Coloured_Glass.txt   648                 321                 238                 327                 0.0110087s
262_The_Collected_Poems_of_Rupert_.txt  824                 430                 272                 394                 0.0196010s
263_Trees,_and_Other_Poems.txt          438                 220                 216                 218                 0.0061838s
264_Main_Street,_and_Other_Poems.txt    440                 202                 220                 238                 0.0065002s
